Designator,Mid X,Mid Y,Rotation,Layer
C1,141.8,-106.2,90.0,top
C10,156.9,-101.4,90.0,top
C11,151.2,-109.7,90.0,top
C12,149.6,-109.7,90.0,top
C13,155.3,-101.4,90.0,top
C14,166.0,-104.7,0.0,top
C15,166.0,-102.5,0.0,top
C16,166.0,-100.3,0.0,top
C17,135.5,-109.8,0.0,top
C18,135.5,-108.2,0.0,top
C19,132.2,-100.7,90.0,top
C2,134.7,-99.9,180.0,top
C20,129.3,-100.7,90.0,top
C21,124.5,-102.5,180.0,top
C22,124.5,-104.0,180.0,top
C23,112.735,-101.2,180.0,top
C24,104.9,-114.3,270.0,top
C25,110.9,-87.3,0.0,top
C26,117.7,-87.3,180.0,top
C27,117.5,-103.9,90.0,top
C28,104.9,-106.1,270.0,top
C29,122.4,-119.5,90.0,top
C3,139.1,-103.1,180.0,top
C30,120.8,-119.5,90.0,top
C31,114.8,-110.7,0.0,top
C32,114.8,-112.2,0.0,top
C33,114.0,-103.9,270.0,top
C34,119.6,-95.7,270.0,top
C35,144.9,-121.2,180.0,top
C36,144.8,-92.3,180.0,top
C37,114.8,-109.2,180.0,top
C4,141.2,-99.8,90.0,top
C5,143.3,-99.8,90.0,top
C6,159.2,-109.7,90.0,top
C7,145.4,-99.8,90.0,top
C8,157.6,-109.7,90.0,top
C9,147.5,-97.425,90.0,top
D1,154.6,-92.3,180.0,top
D2,148.8,-107.3,180.0,top
J4,147.4,-84.025,180.0,top
L1,163.8,-93.7,270.0,top
R1,134.725,-101.5,0.0,top
R10,156.1,-103.7,0.0,top
R11,148.0,-109.7,90.0,top
R12,160.1,-102.9,270.0,top
R13,158.5,-102.9,90.0,top
R2,130.25,-110.25,180.0,top
R3,151.98,-119.935,90.0,top
R4,154.58,-119.96,90.0,top
R6,144.9,-102.4,0.0,top
R7,144.9,-104.0,180.0,top
R8,158.375,-107.3,0.0,top
R9,148.8,-105.6,0.0,top
RST,166.0,-113.0,90.0,top
STATE,122.6,-107.7,0.0,top
SWD,155.78,-124.55,90.0,top
U1,130.55,-106.15,180.0,top
U2,150.25,-101.6,0.0,top
U3,154.4,-109.7,0.0,top
U4,116.3,-117.7,90.0,top
U5,109.4,-95.5,270.0,top
U6,110.2,-106.1,270.0,top
Y1,139.1,-106.2,270.0,top
相机电源,131.6,-87.1,0.0,top
雷达接口,114.39,-125.8,270.0,top
雷达电源,131.6,-123.4,180.0,top
